res_type,rotamer,n,frequency%,chi1_mean,chi1_esd,chi2_mean,chi2_esd,chi3_mean,chi3_esd,chi4_mean,chi4_esd,CA_CB_CG_mean,CA_CB_CG_esd,CA_C_O_mean,CA_C_O_esd,CB_CA_C_mean,CB_CA_C_esd,CB_CG_CD_mean,CB_CG_CD_esd,CD_NE_CZ_mean,CD_NE_CZ_esd,CG_CD_NE_mean,CG_CD_NE_esd,NE_CZ_NH1_mean,NE_CZ_NH1_esd,NE_CZ_NH2_mean,NE_CZ_NH2_esd,NH1_CZ_NH2_mean,NH1_CZ_NH2_esd,N_CA_C_mean,N_CA_C_esd,N_CA_CB_mean,N_CA_CB_esd
ARG,ttm-80,1504,3.24,-174,9.4,179,9.9,-65,10.6,-85,9.7,113.7,1.66,120.5,0.79,110.2,1.24,112.0,1.64,124.9,1.30,112.4,2.03,120.7,1.02,119.7,1.04,119.5,0.76,110.6,2.26,110.4,1.36
ARG,mpt-90,85,0.18,-79,13.9,75,16.3,178,9.6,-88,13.7,114.9,1.26,120.4,0.75,110.0,1.55,112.9,2.30,124.9,1.00,111.6,2.53,120.6,1.07,119.8,0.83,119.6,0.67,110.4,2.71,110.9,1.02
ARG,mpp80,54,0.12,-77,11.8,82,12.0,58,7.4,85,10.1,115.5,1.72,120.4,1.09,109.2,1.98,113.6,1.62,125.0,1.16,113.1,2.28,120.8,1.17,119.8,1.13,119.4,0.73,109.7,2.54,111.5,1.26
ARG,ttm170,1317,2.84,-177,9.9,177,12.4,-68,9.9,171,17.6,113.8,1.74,120.6,0.81,110.1,1.16,111.5,1.83,124.4,1.17,111.3,1.65,120.5,0.96,119.7,0.93,119.7,0.83,110.3,2.38,110.3,1.34
ARG,ppp-140,4,0.01,58,3.0,92,4.6,62,10.6,-143,12.6,115.2,0.90,120.7,0.54,112.0,1.46,112.2,1.50,125.9,1.18,113.8,2.26,121.0,1.24,120.1,1.38,118.9,0.61,113.6,2.34,111.2,1.26
ARG,mmp-170,123,0.27,-64,7.2,-65,14.3,86,9.7,-167,19.8,115.5,1.27,120.4,0.99,109.5,1.52,112.8,1.74,124.8,1.32,111.5,1.61,120.5,1.21,119.8,1.10,119.7,1.14,111.0,2.15,111.1,1.12
ARG,tmt90,23,0.05,-178,9.2,-94,9.1,-178,11.2,87,12.0,115.2,1.49,120.6,0.98,110.5,1.33,112.9,2.34,125.1,1.26,111.4,2.85,120.9,1.86,119.6,1.46,119.4,0.74,110.3,1.54,109.9,1.13
ARG,ppt-90,15,0.03,62,9.1,90,11.1,178,5.5,-92,14.4,115.8,1.38,120.6,0.93,111.2,1.75,113.0,1.28,125.0,0.74,111.7,1.96,120.6,1.31,119.9,1.17,119.5,0.60,111.6,3.12,111.6,1.24
ARG,mmt180,1203,2.59,-62,9.1,-68,12.9,-177,11.3,-176,17.4,114.5,1.38,120.4,0.87,109.4,1.62,112.0,1.71,124.4,1.19,111.0,1.83,120.5,0.87,119.7,0.87,119.8,0.74,111.2,2.57,110.7,1.07
ARG,pmt170,39,0.08,74,11.2,-79,15.4,-169,10.1,-169,15.1,116.3,1.19,120.8,0.70,110.8,1.12,112.7,1.26,124.4,1.05,111.6,1.87,120.4,0.78,120.0,0.64,119.6,0.56,110.7,2.40,111.8,1.07
ARG,mtt-85,2843,6.13,-67,7.8,-179,10.6,-176,9.2,-89,11.7,113.5,1.70,120.4,0.82,109.8,1.65,111.4,1.97,124.8,1.05,111.4,2.43,120.8,1.02,119.6,0.93,119.6,0.77,111.4,2.30,110.6,1.04
ARG,tmt-80,62,0.13,-174,10.8,-93,11.4,-178,10.0,-85,11.5,114.7,1.34,120.5,0.77,111.3,1.33,112.5,1.92,124.7,1.12,111.2,2.14,120.6,0.91,119.7,0.90,119.6,0.63,110.1,2.45,110.1,1.03
ARG,mtm-85,2848,6.14,-68,8.1,-172,9.3,-64,9.5,-88,8.9,113.5,1.56,120.5,0.81,110.0,1.49,112.0,1.57,124.9,1.17,112.7,1.96,120.8,1.03,119.7,1.00,119.5,0.78,111.3,1.97,111.1,1.03
ARG,tmm160,92,0.20,-172,10.9,-90,11.1,-61,11.3,164,18.6,114.8,1.32,120.6,0.80,111.3,1.11,112.6,1.82,124.6,1.19,111.9,1.92,120.7,1.00,119.7,0.89,119.6,0.81,110.0,2.05,110.1,1.13
ARG,mtt180,4592,9.90,-67,7.8,180,11.0,-179,10.7,177,17.9,112.9,1.75,120.4,0.85,110.0,1.66,111.5,2.02,124.4,1.10,110.6,1.82,120.4,0.89,119.6,0.90,119.9,0.79,111.6,2.33,110.6,1.05
ARG,ppt90,19,0.04,64,5.9,99,8.0,-180,9.8,87,13.0,115.4,1.89,120.8,0.83,110.8,1.70,111.9,2.41,125.4,1.13,113.1,2.89,120.9,1.09,119.9,1.09,119.2,0.79,111.0,2.14,110.8,1.30
ARG,tpp-160,496,1.07,179,9.6,66,10.7,65,9.8,-168,19.7,114.8,1.30,120.5,0.84,110.4,1.29,112.7,1.75,124.5,1.38,111.9,1.82,120.5,1.03,119.8,1.09,119.7,0.84,110.6,2.30,110.2,1.09
