res_type,rotamer,n,frequency%,chi1_mean,chi1_esd,chi2_mean,chi2_esd,chi3_mean,chi3_esd,chi4_mean,chi4_esd,CA_CB_CG_mean,CA_CB_CG_esd,CA_C_O_mean,CA_C_O_esd,CB_CA_C_mean,CB_CA_C_esd,CB_CG_CD_mean,CB_CG_CD_esd,CD_CE_NZ_mean,CD_CE_NZ_esd,CG_CD_CE_mean,CG_CD_CE_esd,N_CA_C_mean,N_CA_C_esd,N_CA_CB_mean,N_CA_CB_esd
LYS,mptm,11,0.03,-92,6.7,61,11.1,-174,5.4,-61,13.5,114.6,0.81,120.7,0.57,110.7,0.84,112.8,0.65,113.4,1.68,111.8,0.50,110.8,2.19,110.6,0.91
LYS,ttmt,674,1.94,-175,9.4,-177,10.8,-73,11.7,-175,11.5,113.7,1.55,120.6,0.86,110.2,1.18,112.2,1.52,110.9,2.32,112.2,1.65,110.3,2.33,110.3,1.25
LYS,tmtm,20,0.06,-172,10.4,-91,5.6,-173,15.1,-65,7.7,115.5,1.62,120.6,0.65,111.0,0.85,112.2,1.23,112.7,1.69,112.0,1.55,110.1,1.72,109.8,0.79
LYS,tttp,1233,3.54,-178,8.1,175,9.9,174,10.8,66,12.8,113.9,1.52,120.6,0.75,110.2,1.09,111.1,1.61,112.3,1.98,111.8,1.35,110.7,2.22,110.4,1.14
LYS,ttpt,883,2.54,-178,8.1,175,12.1,73,11.9,175,11.3,113.8,1.64,120.6,0.75,110.1,1.18,112.1,1.47,111.1,2.07,112.2,1.58,110.3,2.32,110.2,1.32
LYS,ttpp,229,0.66,-178,8.6,174,14.5,72,11.2,68,10.5,113.7,1.58,120.6,0.78,110.1,1.26,112.1,1.68,112.8,2.35,112.8,1.57,110.2,2.48,110.4,1.47
LYS,mttm,1829,5.25,-67,7.3,-178,10.0,-177,10.8,-67,12.8,113.4,1.74,120.5,0.85,110.1,1.54,111.2,1.73,112.2,2.03,111.8,1.47,111.4,2.37,110.6,1.00
LYS,tppp,37,0.11,-178,11.5,62,10.1,66,7.8,68,11.3,115.1,1.50,120.7,0.87,110.3,0.75,113.5,1.87,113.0,1.70,113.4,1.74,110.9,1.93,110.2,1.12
LYS,mttp,1414,4.06,-66,8.3,-179,10.7,176,11.2,67,13.6,113.4,1.73,120.5,0.84,110.1,1.63,111.3,1.75,112.2,1.98,111.8,1.47,111.3,2.49,110.6,1.02
LYS,mttt,8597,24.68,-68,7.1,-179,9.1,-179,9.8,179,10.3,113.5,1.62,120.5,0.83,110.0,1.56,111.1,1.85,111.1,2.10,111.0,1.60,111.3,2.24,110.7,0.99
LYS,ttmp,9,0.03,-174,4.2,-179,8.5,-96,18.6,77,25.2,113.2,1.24,120.6,0.50,110.3,1.62,112.6,1.74,114.0,1.36,112.9,0.74,110.8,1.51,111.4,1.04
LYS,ptmm,80,0.23,67,8.4,-178,10.0,-70,9.8,-66,7.0,114.5,1.30,120.6,1.03,109.9,1.49,112.3,1.44,113.0,1.78,113.0,1.15,110.5,2.70,110.8,1.21
